index, gene name
0,ENSG00000000003
1,ENSG00000000419
2,ENSG00000000457
3,ENSG00000000460
4,ENSG00000000938
5,ENSG00000000971
6,ENSG00000001036
7,ENSG00000001084
8,ENSG00000001167
9,ENSG00000001460
10,ENSG00000001461
11,ENSG00000001497
12,ENSG00000001561
13,ENSG00000001629
14,ENSG00000001630
15,ENSG00000001631
16,ENSG00000002016
17,ENSG00000002330
18,ENSG00000002549
19,ENSG00000002586
20,ENSG00000002587
21,ENSG00000002726
22,ENSG00000002745
23,ENSG00000002746
24,ENSG00000002822
25,ENSG00000002834
26,ENSG00000002919
27,ENSG00000002933
28,ENSG00000003056
29,ENSG00000003096
30,ENSG00000003137
31,ENSG00000003147
32,ENSG00000003249
33,ENSG00000003393
34,ENSG00000003400
35,ENSG00000003402
36,ENSG00000003436
37,ENSG00000003509
38,ENSG00000003756
39,ENSG00000004059
40,ENSG00000004139
41,ENSG00000004142
42,ENSG00000004399
43,ENSG00000004455
44,ENSG00000004468
45,ENSG00000004478
46,ENSG00000004487
47,ENSG00000004534
48,ENSG00000004660
49,ENSG00000004700
50,ENSG00000004766
51,ENSG00000004777
52,ENSG00000004779
53,ENSG00000004799
54,ENSG00000004809
55,ENSG00000004838
56,ENSG00000004846
57,ENSG00000004864
58,ENSG00000004866
59,ENSG00000004897
60,ENSG00000004939
61,ENSG00000004961
62,ENSG00000004975
63,ENSG00000005007
64,ENSG00000005020
65,ENSG00000005022
66,ENSG00000005059
67,ENSG00000005075
68,ENSG00000005100
69,ENSG00000005102
70,ENSG00000005108
71,ENSG00000005156
72,ENSG00000005175
73,ENSG00000005187
74,ENSG00000005189
75,ENSG00000005194
76,ENSG00000005206
77,ENSG00000005238
78,ENSG00000005243
79,ENSG00000005249
80,ENSG00000005302
81,ENSG00000005339
82,ENSG00000005379
83,ENSG00000005381
84,ENSG00000005436
85,ENSG00000005448
86,ENSG00000005469
87,ENSG00000005471
88,ENSG00000005483
89,ENSG00000005486
90,ENSG00000005513
91,ENSG00000005700
92,ENSG00000005801
93,ENSG00000005810
94,ENSG00000005812
95,ENSG00000005844
96,ENSG00000005882
97,ENSG00000005884
98,ENSG00000005889
99,ENSG00000005893
100,ENSG00000005961
101,ENSG00000005981
102,ENSG00000006007
103,ENSG00000006015
104,ENSG00000006025
105,ENSG00000006042
106,ENSG00000006062
107,ENSG00000006071
108,ENSG00000006118
109,ENSG00000006125
110,ENSG00000006194
111,ENSG00000006210
112,ENSG00000006282
113,ENSG00000006327
114,ENSG00000006432
115,ENSG00000006451
116,ENSG00000006453
117,ENSG00000006459
118,ENSG00000006468
119,ENSG00000006530
120,ENSG00000006534
121,ENSG00000006555
122,ENSG00000006576
123,ENSG00000006607
124,ENSG00000006625
125,ENSG00000006634
126,ENSG00000006638
127,ENSG00000006652
128,ENSG00000006695
129,ENSG00000006704
130,ENSG00000006712
131,ENSG00000006715
132,ENSG00000006740
133,ENSG00000006744
134,ENSG00000006747
135,ENSG00000006756
136,ENSG00000006757
137,ENSG00000006831
138,ENSG00000006837
139,ENSG00000007038
140,ENSG00000007047
141,ENSG00000007062
142,ENSG00000007080
143,ENSG00000007129
144,ENSG00000007168
145,ENSG00000007174
146,ENSG00000007202
147,ENSG00000007237
148,ENSG00000007255
149,ENSG00000007264
150,ENSG00000007312
151,ENSG00000007314
152,ENSG00000007341
153,ENSG00000007350
154,ENSG00000007376
155,ENSG00000007392
156,ENSG00000007402
157,ENSG00000007516
158,ENSG00000007520
159,ENSG00000007541
160,ENSG00000007545
161,ENSG00000007923
162,ENSG00000007933
163,ENSG00000007944
164,ENSG00000007968
165,ENSG00000008018
166,ENSG00000008083
167,ENSG00000008086
168,ENSG00000008128
169,ENSG00000008130
170,ENSG00000008226
171,ENSG00000008256
172,ENSG00000008277
173,ENSG00000008282
174,ENSG00000008283
175,ENSG00000008294
176,ENSG00000008300
177,ENSG00000008311
178,ENSG00000008323
179,ENSG00000008324
180,ENSG00000008382
181,ENSG00000008394
182,ENSG00000008405
183,ENSG00000008438
184,ENSG00000008441
185,ENSG00000008513
186,ENSG00000008516
187,ENSG00000008517
188,ENSG00000008710
189,ENSG00000008735
190,ENSG00000008838
191,ENSG00000008853
192,ENSG00000008869
193,ENSG00000008952
194,ENSG00000008988
195,ENSG00000009307
196,ENSG00000009335
197,ENSG00000009413
198,ENSG00000009694
199,ENSG00000009765
200,ENSG00000009780
201,ENSG00000009790
202,ENSG00000009830
203,ENSG00000009844
204,ENSG00000009950
205,ENSG00000009954
206,ENSG00000010017
207,ENSG00000010030
208,ENSG00000010072
209,ENSG00000010165
210,ENSG00000010219
211,ENSG00000010244
212,ENSG00000010256
213,ENSG00000010270
214,ENSG00000010278
215,ENSG00000010292
216,ENSG00000010295
217,ENSG00000010310
218,ENSG00000010318
219,ENSG00000010319
220,ENSG00000010322
221,ENSG00000010327
222,ENSG00000010361
223,ENSG00000010379
224,ENSG00000010404
225,ENSG00000010539
226,ENSG00000010610
227,ENSG00000010626
228,ENSG00000010671
229,ENSG00000010704
230,ENSG00000010803
231,ENSG00000010810
232,ENSG00000010818
233,ENSG00000010932
234,ENSG00000011007
235,ENSG00000011009
236,ENSG00000011021
237,ENSG00000011028
238,ENSG00000011052
239,ENSG00000011105
240,ENSG00000011114
241,ENSG00000011132
242,ENSG00000011143
243,ENSG00000011198
244,ENSG00000011201
245,ENSG00000011243
246,ENSG00000011258
247,ENSG00000011260
248,ENSG00000011275
249,ENSG00000011295
250,ENSG00000011304
251,ENSG00000011376
252,ENSG00000011405
253,ENSG00000011422
254,ENSG00000011426
255,ENSG00000011451
256,ENSG00000011454
257,ENSG00000011465
258,ENSG00000011478
259,ENSG00000011485
260,ENSG00000011523
261,ENSG00000011566
262,ENSG00000011590
263,ENSG00000011600
