index, gene name
4,ENSG00000000938
6,ENSG00000001036
10,ENSG00000001461
26,ENSG00000002919
35,ENSG00000003402
53,ENSG00000004799
66,ENSG00000005059
87,ENSG00000005471
98,ENSG00000005889
99,ENSG00000005893
113,ENSG00000006327
120,ENSG00000006534
127,ENSG00000006652
131,ENSG00000006715
135,ENSG00000006756
136,ENSG00000006757
147,ENSG00000007237
150,ENSG00000007312
163,ENSG00000007944
166,ENSG00000008083
169,ENSG00000008130
175,ENSG00000008294
187,ENSG00000008517
194,ENSG00000008988
205,ENSG00000009954
213,ENSG00000010270
224,ENSG00000010404
243,ENSG00000011198
244,ENSG00000011201
253,ENSG00000011422
263,ENSG00000011600
267,ENSG00000012124
271,ENSG00000012223
272,ENSG00000012232
273,ENSG00000012660
275,ENSG00000012817
297,ENSG00000013725
316,ENSG00000015676
338,ENSG00000019991
351,ENSG00000021574
359,ENSG00000022567
368,ENSG00000023445
378,ENSG00000024048
383,ENSG00000025156
401,ENSG00000027001
403,ENSG00000027697
440,ENSG00000033327
441,ENSG00000033627
442,ENSG00000033800
444,ENSG00000034053
456,ENSG00000035664
459,ENSG00000035720
460,ENSG00000035862
479,ENSG00000038219
483,ENSG00000038427
488,ENSG00000039319
507,ENSG00000042088
520,ENSG00000043462
526,ENSG00000044459
530,ENSG00000046651
565,ENSG00000048740
566,ENSG00000048828
573,ENSG00000049245
586,ENSG00000049860
603,ENSG00000051108
610,ENSG00000051620
623,ENSG00000053372
647,ENSG00000055044
654,ENSG00000055211
666,ENSG00000056558
677,ENSG00000057704
697,ENSG00000059377
699,ENSG00000059573
702,ENSG00000059728
736,ENSG00000062524
740,ENSG00000062716
743,ENSG00000063046
747,ENSG00000063177
755,ENSG00000063601
766,ENSG00000064225
785,ENSG00000064763
800,ENSG00000065150
802,ENSG00000065183
803,ENSG00000065243
807,ENSG00000065357
821,ENSG00000065615
825,ENSG00000065675
832,ENSG00000065911
837,ENSG00000066027
871,ENSG00000067048
875,ENSG00000067082
876,ENSG00000067113
882,ENSG00000067208
895,ENSG00000067646
902,ENSG00000067900
904,ENSG00000067992
906,ENSG00000068024
916,ENSG00000068366
922,ENSG00000068615
929,ENSG00000068796
930,ENSG00000068831
949,ENSG00000069667
956,ENSG00000069966
957,ENSG00000069974
962,ENSG00000070061
978,ENSG00000070476
980,ENSG00000070501
982,ENSG00000070540
985,ENSG00000070614
989,ENSG00000070731
1002,ENSG00000071051
1005,ENSG00000071082
1018,ENSG00000071575
1046,ENSG00000072501
1063,ENSG00000072952
1075,ENSG00000073331
1088,ENSG00000073737
1092,ENSG00000073849
1094,ENSG00000073910
1095,ENSG00000073921
1106,ENSG00000074356
1118,ENSG00000074696
1137,ENSG00000075223
1145,ENSG00000075340
1152,ENSG00000075426
1158,ENSG00000075651
1170,ENSG00000076043
1182,ENSG00000076513
1183,ENSG00000076554
1186,ENSG00000076641
1189,ENSG00000076685
1204,ENSG00000077157
1222,ENSG00000077684
1255,ENSG00000078596
1256,ENSG00000078618
1281,ENSG00000079335
1293,ENSG00000079739
1302,ENSG00000080007
1312,ENSG00000080546
1320,ENSG00000080815
1322,ENSG00000080822
1333,ENSG00000081026
1334,ENSG00000081052
1335,ENSG00000081059
1365,ENSG00000082212
1369,ENSG00000082293
1371,ENSG00000082438
1373,ENSG00000082512
1378,ENSG00000082701
1382,ENSG00000082996
1387,ENSG00000083123
1389,ENSG00000083223
1394,ENSG00000083454
1411,ENSG00000083845
1420,ENSG00000084110
1423,ENSG00000084234
1429,ENSG00000084676
1441,ENSG00000085265
1453,ENSG00000085514
1454,ENSG00000085563
1461,ENSG00000085788
1465,ENSG00000085871
1482,ENSG00000086300
1487,ENSG00000086548
1493,ENSG00000086712
1495,ENSG00000086730
1516,ENSG00000087253
1520,ENSG00000087269
1534,ENSG00000087589
1543,ENSG00000088205
1553,ENSG00000088387
1567,ENSG00000088832
1568,ENSG00000088833
1579,ENSG00000089009
1580,ENSG00000089012
1582,ENSG00000089041
1583,ENSG00000089048
1594,ENSG00000089157
1601,ENSG00000089220
1610,ENSG00000089472
1621,ENSG00000089775
1643,ENSG00000090376
1648,ENSG00000090487
1652,ENSG00000090554
1664,ENSG00000090861
1678,ENSG00000091129
1682,ENSG00000091164
1685,ENSG00000091317
1686,ENSG00000091409
1690,ENSG00000091490
1719,ENSG00000092200
1733,ENSG00000092820
1734,ENSG00000092841
1743,ENSG00000093000
1747,ENSG00000093134
1773,ENSG00000095383
1789,ENSG00000096006
1797,ENSG00000096384
1799,ENSG00000096433
1805,ENSG00000096968
1815,ENSG00000099204
1839,ENSG00000099725
1897,ENSG00000100058
1909,ENSG00000100100
1911,ENSG00000100105
1912,ENSG00000100106
1933,ENSG00000100219
1966,ENSG00000100316
1982,ENSG00000100351
1996,ENSG00000100387
1998,ENSG00000100395
2004,ENSG00000100413
2023,ENSG00000100473
2027,ENSG00000100485
2029,ENSG00000100503
2056,ENSG00000100605
2064,ENSG00000100644
2080,ENSG00000100784
2090,ENSG00000100852
2098,ENSG00000100902
2112,ENSG00000100985
2113,ENSG00000100991
2127,ENSG00000101084
2137,ENSG00000101150
2140,ENSG00000101160
2161,ENSG00000101246
2164,ENSG00000101265
2169,ENSG00000101298
2170,ENSG00000101307
2181,ENSG00000101361
2193,ENSG00000101425
2201,ENSG00000101457
2206,ENSG00000101474
2207,ENSG00000101493
2214,ENSG00000101596
2232,ENSG00000101842
2235,ENSG00000101846
2241,ENSG00000101888
2246,ENSG00000101916
2260,ENSG00000102010
2269,ENSG00000102054
2273,ENSG00000102096
2289,ENSG00000102218
2291,ENSG00000102225
2295,ENSG00000102245
2303,ENSG00000102317
2304,ENSG00000102349
2324,ENSG00000102580
2334,ENSG00000102760
2336,ENSG00000102780
2342,ENSG00000102837
2383,ENSG00000103064
2400,ENSG00000103194
2401,ENSG00000103196
2421,ENSG00000103313
2434,ENSG00000103381
2448,ENSG00000103512
2449,ENSG00000103522
2477,ENSG00000103994
2483,ENSG00000104093
2488,ENSG00000104142
2495,ENSG00000104219
2504,ENSG00000104320
2505,ENSG00000104324
