index, gene name
16281,ENSG00000244437
16294,ENSG00000244617
16311,ENSG00000246082
16320,ENSG00000247626
16351,ENSG00000248712
16367,ENSG00000249072
16381,ENSG00000249274
16500,ENSG00000251369
16557,ENSG00000253719
16576,ENSG00000253981
16624,ENSG00000254772
16729,ENSG00000256553
16759,ENSG00000257093
16772,ENSG00000257335
16812,ENSG00000258215
16939,ENSG00000260078
16985,ENSG00000260916
17037,ENSG00000262102
17078,ENSG00000262902
17098,ENSG00000263528
17110,ENSG00000263961
17141,ENSG00000265681
17152,ENSG00000266028
17172,ENSG00000266820
17235,ENSG00000267793
17266,ENSG00000268849
17371,ENSG00000271361
17400,ENSG00000272325
17412,ENSG00000272602
17473,ENSG00000273748
17544,ENSG00000274512
17554,ENSG00000274588
17602,ENSG00000275063
17614,ENSG00000275131
17690,ENSG00000275824
17757,ENSG00000276386
17780,ENSG00000276566
17844,ENSG00000277150
17848,ENSG00000277203
17866,ENSG00000277438
17888,ENSG00000277734
18106,ENSG00000281981
18125,ENSG00000282130
18128,ENSG00000282150
18151,ENSG00000282297
18165,ENSG00000282399
18188,ENSG00000282615
18343,ENSG00000284691
18414,ENSG00000285250
