index, gene name
7237,ENSG00000145041
7264,ENSG00000145375
7321,ENSG00000145911
7340,ENSG00000146070
7347,ENSG00000146122
7365,ENSG00000146285
7409,ENSG00000146859
7421,ENSG00000147050
7462,ENSG00000147416
7469,ENSG00000147457
7475,ENSG00000147526
7613,ENSG00000149136
7629,ENSG00000149269
7630,ENSG00000149273
7742,ENSG00000150782
7769,ENSG00000151135
7801,ENSG00000151466
7818,ENSG00000151623
7851,ENSG00000151893
7901,ENSG00000152454
7906,ENSG00000152465
7910,ENSG00000152495
7962,ENSG00000153064
7986,ENSG00000153283
7990,ENSG00000153310
8035,ENSG00000154016
8054,ENSG00000154165
8085,ENSG00000154511
8096,ENSG00000154620
8119,ENSG00000154814
8131,ENSG00000154928
8147,ENSG00000155099
8157,ENSG00000155265
8175,ENSG00000155465
8210,ENSG00000155926
8242,ENSG00000156239
8267,ENSG00000156482
8275,ENSG00000156521
8322,ENSG00000157077
8383,ENSG00000157734
8404,ENSG00000157978
8422,ENSG00000158156
8455,ENSG00000158473
8464,ENSG00000158517
8553,ENSG00000159339
8561,ENSG00000159399
8631,ENSG00000160179
8634,ENSG00000160185
8643,ENSG00000160208
8693,ENSG00000160593
8700,ENSG00000160683
8718,ENSG00000160789
8771,ENSG00000161405
8774,ENSG00000161533
8810,ENSG00000161955
8865,ENSG00000162413
8875,ENSG00000162444
8910,ENSG00000162630
8945,ENSG00000162777
8957,ENSG00000162852
8965,ENSG00000162894
9029,ENSG00000163220
9030,ENSG00000163221
9058,ENSG00000163393
9113,ENSG00000163600
9130,ENSG00000163644
9157,ENSG00000163739
9162,ENSG00000163754
9166,ENSG00000163788
9223,ENSG00000163993
9241,ENSG00000164047
9267,ENSG00000164104
9280,ENSG00000164125
9284,ENSG00000164144
9363,ENSG00000164506
9389,ENSG00000164649
9394,ENSG00000164674
9421,ENSG00000164823
9472,ENSG00000165071
9475,ENSG00000165092
9489,ENSG00000165168
9498,ENSG00000165209
9504,ENSG00000165246
9509,ENSG00000165272
9559,ENSG00000165617
9593,ENSG00000165733
9627,ENSG00000165929
9702,ENSG00000166313
9730,ENSG00000166439
9731,ENSG00000166441
9751,ENSG00000166523
9821,ENSG00000166900
9853,ENSG00000167080
9862,ENSG00000167106
10094,ENSG00000168280
10115,ENSG00000168389
10124,ENSG00000168421
10153,ENSG00000168615
10158,ENSG00000168672
10162,ENSG00000168685
10179,ENSG00000168795
10234,ENSG00000169084
10240,ENSG00000169116
10266,ENSG00000169239
10272,ENSG00000169249
10297,ENSG00000169429
10301,ENSG00000169442
10308,ENSG00000169508
10353,ENSG00000169807
10356,ENSG00000169826
10444,ENSG00000170365
10534,ENSG00000170915
10543,ENSG00000170956
10546,ENSG00000170989
10566,ENSG00000171130
10613,ENSG00000171444
10684,ENSG00000171843
10687,ENSG00000171858
10691,ENSG00000171863
10802,ENSG00000172575
10827,ENSG00000172765
10866,ENSG00000172985
10881,ENSG00000173085
10884,ENSG00000173114
10972,ENSG00000173674
11009,ENSG00000173930
11068,ENSG00000174444
11076,ENSG00000174500
11100,ENSG00000174718
11158,ENSG00000175137
11207,ENSG00000175471
11215,ENSG00000175538
11266,ENSG00000175938
11323,ENSG00000176463
11334,ENSG00000176595
11350,ENSG00000176749
11369,ENSG00000176928
11415,ENSG00000177272
11452,ENSG00000177576
11465,ENSG00000177674
11500,ENSG00000177954
11511,ENSG00000178035
11568,ENSG00000178562
11582,ENSG00000178695
11596,ENSG00000178802
11604,ENSG00000178904
11638,ENSG00000179088
11736,ENSG00000180096
11757,ENSG00000180316
11762,ENSG00000180353
11780,ENSG00000180509
11882,ENSG00000181481
11899,ENSG00000181690
11904,ENSG00000181754
11934,ENSG00000182022
11992,ENSG00000182389
12042,ENSG00000182774
12054,ENSG00000182866
12059,ENSG00000182899
12168,ENSG00000183624
12181,ENSG00000183688
12183,ENSG00000183691
12219,ENSG00000183878
12228,ENSG00000183960
12285,ENSG00000184368
12315,ENSG00000184613
12334,ENSG00000184787
12449,ENSG00000185477
12495,ENSG00000185753
12510,ENSG00000185862
12513,ENSG00000185875
12522,ENSG00000185909
12530,ENSG00000185950
12577,ENSG00000186231
12578,ENSG00000186260
12579,ENSG00000186265
12588,ENSG00000186312
12605,ENSG00000186416
12613,ENSG00000186468
12626,ENSG00000186529
12665,ENSG00000186854
12669,ENSG00000186871
12683,ENSG00000187037
12723,ENSG00000187474
12781,ENSG00000187862
12819,ENSG00000188158
12824,ENSG00000188186
